id,phase,priority,area,title,status,effort,depends_on,why,implementation,acceptance,source_refs
REL-001,preview,P0,REL,Reconcile the public product contract and documentation,planned,S,,Contributors need one current account of what ships and what remains planned.,"Audit README, GOAL, architecture component-state tables and contribution commands against the current source. Record core versus server boundaries and measured corpus/version/date. Keep the ignored legacy roadmaps unchanged and make tasks.csv the public release-work tracker.","GraphStore and existing Ruby/PHP extraction are described accurately. MCP confidence/spans are acknowledged. Unsupported novelty, global safety and unqualified scale claims are removed or scoped. All new plan links resolve.",docs/design/architecture.md:11; docs/design/architecture.md:719; docs/design/GOAL.md:3; backend/tracekite/db/graph_store.py:83; .gitignore:82
UX-001,preview,P0,UX,"Label loaded, eligible and displayed graph counts explicitly",planned,S,,The current loaded count is a fetched node pool and can be mistaken for the entire repository.,"Change the shared context bar and supporting types so overview labels say groups, loaded nodes and displayed summary links. Detail labels count nodes and individual relationships. Distinguish loaded edges, filtered-out items, aggregation-hidden items and budget-omitted items. Do not label an aggregate as verified unless its members support that wording.",Both 2D and 3D explicitly identify nodes versus links. A 459-node input can show 28 groups without claiming 459 is the indexed total. Filtering and hiding links update the proper counts without changing underlying facts.,frontend/src/components/GraphContextBar.tsx:44; frontend/src/components/GraphCanvas2D.tsx:240; frontend/src/components/GraphCanvas3D.tsx:250
CTX-001,preview,P0,CTX,Define the versioned intelligence-answer contract,planned,M,,"Every host needs the same facts, scope, uncertainty and identity semantics.","Define typed request/answer and snapshot models with query kind, canonical parameters, expected and analyzed repos, revisions/source digests, engine/config identity, filters, limits, result truncation, coverage reasons and freshness state. Define present, known-empty, unknown-target, ambiguous and unavailable separately. Document the kernel/host boundary. Introduce a versioned MCP answer schema without silently rewriting a frozen artifact schema.",Schema fixtures cover all answer states and reject invented revision/evidence data. No empty or filtered result can imply safe-to-delete. Unknown coverage and revisions remain unknown. Public contract evolution has an explicit compatibility policy.,backend/tracekite/wire.py:1; backend/tracekite/mcp_server.py:105; backend/tracekite/services/absence.py:26; docs/design/architecture.md:11
CTX-002,preview,P0,CTX,Retain source and coverage metadata in every query snapshot,planned,L,CTX-001,"MCP currently collects claims but drops the scan/artifact coverage context, and directory inputs register an empty commit.","Carry per-repo scan reports, requested/loaded inputs, content digests, head revision and dirty/unversioned state into query snapshots. Preserve per-repo manifests through compaction. Include effective configuration and parser/resolver identity in fingerprints. Collect filesystem and Git data in boundary/store adapters; keep computation pure. Older artifacts lacking metadata are explicitly incomplete.","Source directories, individual artifacts and compacted inputs retain their own coverage and revision metadata. Duplicate identities, missing inputs, failed reads, config changes and dirty trees are tested. Reordered identical inputs give the same canonical identity; changed relevant inputs invalidate it.",backend/tracekite/mcp_server.py:200; backend/tracekite/mcp_server.py:208; backend/tracekite/db/artifact.py:53; backend/tracekite/db/artifact.py:202
CTX-003,preview,P0,CTX,Compute conservative query-relative completeness,planned,M,CTX-002,A completed parser run does not prove that every possible consumer was observed.,"Build one pure completeness evaluator over the query and snapshot metadata. Account for declared repo scope, relevant framework/claim capabilities, parse failures, exclusions, caps, unfetched submodules, unresolved matching and result limits. Initially use conservative scope-wide decline reasons when attribution is unavailable. Preserve the legacy scan boolean but do not treat it as permission or a universal absence proof.","Known-empty differs from unknown-target and failed query. Unsupported idioms, missing repos, stale/unknown metadata, relevant declines and truncated traversal prevent completeness. Any positive conclusion is explicitly limited to supported patterns in the named snapshot. A high confidence positive edge never upgrades negative-result completeness.",backend/tracekite/services/absence.py:52; backend/tracekite/services/extraction_coverage.py:27; backend/tracekite/mcp_server.py:118
INT-001,preview,P0,INT,Expose a stable framework integration facade,planned,M,CTX-003,Framework users should depend on a small supported API instead of internal linker modules.,"Add a documented Python facade for snapshot construction and typed services/consumers/path/change analysis. Reuse the current engine and store protocols. Return the intelligence-answer contract with no host-specific prompting, network requirement or database requirement. Define exceptions, cancellation/resource behavior and extension registration contracts.","A clean installed core wheel can answer a cross-repo question through the supported facade without importing FastAPI or Neo4j. Library and MCP fixtures agree on facts, evidence and completeness. Compatibility tests import only public entry points.",pyproject.toml:36; packaging/tracekite-core/pyproject.toml:16; backend/tracekite/services/linker/engine.py:48; backend/tracekite/db/graph_store.py:83
CTX-004,preview,P0,CTX,Expose dependable answers through the existing MCP tools,planned,M,CTX-003;INT-001,Agents need query scope and limitations beside the existing confidence and citations.,"Route services, consumers_of, trace and deprecations through the shared facade. Preserve existing confidence/spans and add the versioned answer context. Bound result size with stable ordering and explicit continuation/truncation. Report immutable snapshot identity on every answer and require explicit refresh for new source state. Keep handshake fast and test supported protocol negotiation and error behavior.","All four tools return consistent scope/revision/coverage context. Invalid IDs, ambiguous names, no paths, max-hop truncation, missing inputs and malformed calls have distinct outcomes. Older clients receive the documented compatible response; new clients validate the declared schema. No stale in-memory snapshot is represented as latest.",backend/tracekite/mcp_server.py:27; backend/tracekite/mcp_server.py:105; backend/tracekite/mcp_server.py:159; backend/tests/test_mcp_server.py:1
UX-002,preview,P0,UX,Carry graph retrieval scope and truncation into the UI,planned,M,CTX-001,Rendering all loaded nodes cannot recover facts that the API never fetched.,"Add graph response metadata for query/snapshot scope, per-repo success, primary limits, enrichment/bridge contributions and truncation. Return authoritative indexed/eligible totals where supported and unknown otherwise. Deduplicate nodes and semantic edge identities. Expose bounded load-more or explicit refinement actions, and reject mixed-generation responses when scope changes.","A large repo, bridge-only endpoint, duplicate link, failed repo request, unknown total and empty scope all report truthful counts. The initial per-repo budget is not presented as the full graph. Broad totals come from storage queries; routes remain thin and new operator budgets are served via /api/config.",frontend/src/hooks/useGraphDataLoader.ts:77; backend/tracekite/routes/graph.py:14; backend/tracekite/services/graph_reader.py:181; backend/tracekite/services/graph_reader.py:439; backend/tracekite/routes/health.py:21
UX-008,preview,P0,UX,Make impact depth and direction match the UI promise,planned,M,,The current bounded-impact projection can retain a third-hop node and disconnected nodes under a 2-hop label.,"Define the allowed dependency edge types and traversal direction for callers versus dependencies. Bound BFS by the selected hop count, exclude unreachable nodes, and apply deterministic budgets after reachability. Keep a both-directions neighborhood visibly distinct from change impact. Reuse common projection semantics in 2D/3D and check the backend impact query agrees.","For A to B to C to D plus disconnected Z, a two-hop outgoing neighborhood from A excludes D and Z. Incoming impact from C identifies A/B for supported dependency types. Cycles, excluded edge types, direction changes and node truncation have focused tests and accurate labels.",frontend/src/lib/graphOverviewProjection.ts:203; frontend/src/components/GraphContextBar.tsx:23; frontend/src/hooks/useGraphDataLoader.ts:47; backend/tracekite/services/graph_reader.py:282
REL-002,preview,P0,REL,Prepare license and contributor policies for public use,planned,M,,The repository is private today and public contributors need clear terms and support paths.,"Audit the existing Apache-2.0 license against shipped source, dependencies and redistributed fixtures/assets. Add required notices only where applicable. Document contribution, security reporting, supported versions, governance and community conduct with real maintainer contact paths. Do not introduce an unnecessary CLA or invent third-party permissions.","Source and built distributions contain the correct license and required notices. Redistributed samples/assets have recorded provenance. Contribution and security-reporting instructions have usable destinations, and the license inventory has no unresolved release-blocking item.",LICENSE:1; CONTRIBUTING.md:1; packaging/tracekite-core/pyproject.toml:16; packaging/tracekite-core/LICENSE:1
